1154,1421,222367,
1142,1417,254800,
1147,1417,41139,
1145,1433,240635,
1142,1418,234503,
1154,1422,47207,
1141,1417,5179,
1147,1416,213422,
1144,1436,20177,
1141,1418,26193,
1153,1422,214125,
1145,1417,255236,
1147,1418,51140,
1145,1438,239621,
1142,1417,229295,
1151,1421,42583,
1143,1420,2459,
1146,1417,215335,
1144,1437,23658,
1142,1417,30282,
1152,1423,215121,
1143,1418,260471,
1148,1418,47983,
1145,1438,230476,
1144,1418,235431,
1151,1422,51460,
1143,1419,261679,
1147,1417,211124,
1144,1439,29440,
1141,1420,30218,
1152,1420,206894,
1144,1422,261789,
1148,1420,48942,
1146,1436,229278,
1145,1420,236297,
1151,1423,57688,
1145,1423,3266,
1148,1420,214080,
1148,1438,32117,
1148,1424,27608,
1155,1428,213502,
1152,1431,6808,
1158,1428,58437,
1158,1446,226809,
1159,1440,231292,
1168,1447,58093,
1168,1450,257837,
1175,1452,205621,
1180,1475,40059,
1187,1472,36735,
1197,1486,209656,
1202,1498,17892,
1208,1509,70075,
1214,1531,220845,
1209,1530,234210,
1211,1536,64698,
1200,1536,256138,
1193,1533,210189,
1185,1545,50733,
1167,1534,32828,
1164,1536,191247,
1152,1530,7527,
1152,1523,57943,
1155,1530,213503,
1145,1513,233645,
1149,1505,63786,
1146,1490,253524,
1149,1476,207260,
1153,1473,49731,
1146,1451,27502,
1149,1444,194213,
1146,1437,14618,
1146,1428,60154,
1156,1432,207209,
1142,1423,237187,
1148,1426,68573,
1145,1418,245704,
1144,1416,209021,
1158,1429,61886,
1143,1421,39819,
1147,1423,195403,
1142,1421,15834,
1144,1418,67262,
1161,1425,207363,
1143,1417,242657,
1146,1422,77957,
1147,1420,242170,
1143,1418,205063,
1163,1427,65760,
1143,1420,31607,
1148,1421,183715,
1146,1419,26586,
1142,1418,79148,
1164,1425,201150,
1144,1419,240436,
1146,1424,95921,
1144,1422,247224,
1140,1419,203816,
1165,1426,87703,
1143,1419,56163,
1147,1423,194645,
1145,1424,54576,
1144,1423,108260,
1160,1428,239042,
1145,1427,41166,
1148,1434,128183,
1141,1443,108288,
1143,1447,68185,
1161,1474,13652,
1145,1496,215124,
1149,1530,214701,
1147,1572,53136,
1149,1616,7490,
1165,1680,201307,
1149,1745,28170,
1155,1821,41311,
1156,1915,201816,
1157,2021,257423,
1174,2161,60544,
1169,2322,230539,
1187,2523,225260,
1204,2754,54878,
1233,2994,9896,
1286,3261,205633,
1323,3529,30447,
1384,3806,43482,
1453,4103,206760,
1535,4404,260219,
1656,4771,60494,
1782,5183,228510,
1954,5646,227211,
2153,6160,56881,
2364,6632,9992,
2586,7116,206957,
2781,7575,32940,
2991,8039,44665,
3212,8558,208691,
3479,9105,817,
3815,9750,60393,
4209,10479,222819,
4699,11285,229297,
5239,12146,59757,
5818,12985,7324,
6419,13838,206465,
6995,14648,35771,
7539,15395,44205,
8017,16077,207574,
8435,16650,3105,
8856,17243,62431,
9320,17900,223111,
9930,18731,230348,
10731,19798,61889,
11739,21042,6957,
12955,22476,207118,
14328,24054,38384,
15884,25769,45593,
17584,27598,207965,
19400,29464,5472,
21302,31391,61526,
23299,33390,220408,
25467,35521,232656,
27794,37796,63569,
30221,40063,7204,
32674,42294,208892,
35041,44397,40970,
37271,46277,45709,
39160,47813,205628,
40848,49102,6663,
42466,50311,64875,
44049,51098,224546,
45603,52209,232355,
47098,53294,65567,
48547,54309,7123,
49926,55276,205583,
50854,56155,41617,
52041,56950,48078,
53092,57660,201986,
54023,58303,6196,
54919,58943,67548,
55789,59659,224119,
56861,60669,230867,
57859,61653,66406,
58972,62680,4796,
60395,63938,205571,
62204,65516,44257,
64296,67368,45613,
66670,69153,202920,
69012,71584,10635,
71917,74136,66194,
74805,76612,220690,
77597,79051,234656,
80165,81344,68130,
82544,83469,5334,
84439,85181,208915,
86527,87113,47052,
88337,88678,44004,
89575,89705,205390,
89979,89921,15039,
89754,89428,64955,
89049,88448,220546,
88083,87071,234471,
86703,85530,38132,
85294,83875,231704,
83908,82266,225250,
82412,80665,214820,
81024,79151,206567,
79926,77775,205196,
78926,76551,229247,
77994,75374,202635,
77063,74321,198348,
76304,73513,234199,
75880,73063,198363,
75828,73071,198922,
76320,73643,221268,
77478,74961,208899,
79506,77177,203523,
82393,80314,202011,
86039,84356,224976,
90525,89236,199096,
95378,94544,193307,
100280,100009,230731,
104859,105243,196023,
109904,111049,196805,
115347,117512,218980,
121384,124890,205950,
128918,134093,202565,
137749,144771,200981,
146684,155612,220878,
157166,168832,200029,
166560,180973,193858,
174111,191533,228780,
179724,199593,194329,
182227,203677,195339,
182789,205730,217282,
183143,206694,198823,
183399,207238,200561,
183957,207822,198982,
184665,208437,212581,
185669,209037,195642,
186794,209569,189101,
188021,210036,220538,
189300,210517,187559,
190563,210968,194334,
191873,211386,211076,
193217,211805,190093,
194644,212275,199377,
196260,212849,193747,
197999,213465,203747,
199633,213997,193684,
201902,215041,186096,
204383,216327,212676,
207161,218012,183807,
210365,220207,192157,
213901,222778,201997,
217374,225512,183512,
221001,228178,199993,
224369,230695,189142,
227474,232867,196231,
230241,234987,195904,
232570,236917,184690,
234897,238678,206306,
236983,240254,183236,
238892,241673,192966,
240650,242989,200172,
242277,244172,181797,
243784,245223,202394,
245177,246177,188686,
246497,246922,194524,
247490,247694,199533,
248589,248385,184946,
249603,249019,205792,
250564,249594,187316,
251499,250138,194713,
252386,250655,201773,
253237,251122,183042,
254057,251520,203778,
254793,251931,190126,
255517,252299,194410,
256182,252647,203517,
256841,252967,184825,
257464,253241,203876,
258046,253516,191568,
258621,253744,195771,
259175,253984,201722,
259695,254192,186465,
260173,254387,206964,
260619,254542,189587,
261041,254684,193455,
261433,254841,208196,
261796,254981,185280,
262144,255076,204386,
262244,255199,196922,
262531,255298,197284,
262791,255399,203518,
263063,255485,190608,
263330,255596,211228,
263552,255685,193520,
263804,255783,195479,
264019,255861,213689,
264258,255971,188385,
264473,256011,205332,
264684,256112,202172,
264893,256193,199388,
265117,256297,205554,
265322,256363,192503,
265525,256454,212151,
265764,256532,195169,
265972,256634,195800,
266193,256721,216211,
266413,256806,191581,
266611,256894,207396,
266851,256955,206356,
267009,257035,201754,
267204,257108,208333,
267389,257180,197369,
267579,257220,216076,
267743,257301,199405,
267907,257339,200364,
268037,257378,220382,
268167,257425,194986,
268314,257457,210346,
268458,257497,211683,
268567,257548,203672,
268678,257577,211870,
268823,257621,200860,
268951,257645,215352,
269064,257701,201505,
269218,257738,201623,
269322,257791,221554,
269453,257815,195125,
269590,257846,209857,
269716,257897,213523,
269839,257902,204442,
269938,257937,213077,
270043,257940,204208,
270143,257973,218067,
270228,257990,207102,
270327,258008,205503,
270439,258012,224687,
270468,258029,199707,
270543,258033,210681,
270619,258043,217289,
270650,258044,205545,
270684,258026,212279,
270709,258017,205608,
270690,258000,218486,
270655,257961,206895,
270582,257919,202543,
270551,257876,225503,
270491,257845,200398,
270447,257809,209666,
270404,257775,218365,
270375,257736,204887,
270313,257702,210792,
270258,257649,205533,
270205,257616,217977,
270148,257562,206496,
270093,257537,201514,
270082,257499,226831,
270019,257475,200393,
269993,257454,208144,
269953,257407,220155,
269915,257368,204391,
269900,257320,212227,
269862,257295,207357,
269824,257274,216931,
269804,257221,207370,
269763,257202,202568,
269727,257157,226967,
269725,257127,201311,
269698,257092,209216,
269693,257064,222215,
269670,257050,204685,
269659,257014,214180,
269663,256992,210048,
269674,256981,217279,
269674,256957,208722,
269663,256957,203284,
269693,256941,227230,
269675,256910,202166,
269681,256893,209680,
269713,256886,223523,
269711,256873,204417,
269743,256846,213448,
269771,256850,211128,
269777,256840,216737,
269817,256820,209962,
269826,256811,205069,
269845,256811,227726,
269871,256790,201571,
269870,256776,204211,
269905,256779,225600,
269888,256743,205255,
269918,256746,213258,
269943,256729,212595,
