282522,
0.023193;0.008545;1.006714,
2.075195;-3.234863;-1.342773,
282548,
0.024414;0.007202;1.007690,
2.014160;-3.295898;-1.281738,
524287,
0.024414;0.007202;1.007690,
2.014160;-3.295898;-1.281738,
282604,
0.023804;0.006714;1.005493,
2.075195;-3.234863;-1.281738,
524287,
0.023804;0.006714;1.005493,
2.075195;-3.234863;-1.281738,
282683,
0.023804;0.006714;1.005493,
2.075195;-3.234863;-1.281738,
282701,
0.026978;0.005737;1.008789,
2.014160;-3.295898;-1.281738,
282753,
0.026978;0.005737;1.008789,
2.014160;-3.295898;-1.281738,
282784,
0.025635;0.005615;1.008301,
2.014160;-3.356934;-1.281738,
282805,
0.025635;0.005615;1.008301,
2.014160;-3.356934;-1.281738,
282855,
0.024658;0.006470;1.008667,
2.075195;-3.173828;-1.281738,
282883,
0.024658;0.006470;1.008667,
2.075195;-3.173828;-1.281738,
282907,
0.026245;0.003784;1.007202,
2.075195;-3.234863;-1.342773,
282921,
0.026245;0.003784;1.007202,
2.075195;-3.234863;-1.342773,
282950,
0.026733;0.003296;1.006470,
2.136230;-3.234863;-1.342773,
282972,
0.026733;0.003296;1.006470,
2.136230;-3.234863;-1.342773,
282950,
0.026733;0.006836;1.008423,
2.075195;-3.173828;-1.403809,
282985,
0.026733;0.006836;1.008423,
2.075195;-3.173828;-1.403809,
282976,
0.027222;0.006592;1.006348,
2.075195;-3.234863;-1.281738,
283002,
0.027222;0.006592;1.006348,
2.075195;-3.295898;-1.281738,
283017,
0.027222;0.007324;1.006836,
2.075195;-3.295898;-1.281738,
283068,
0.027832;0.007690;1.006958,
2.014160;-3.234863;-1.281738,
283081,
0.027832;0.007690;1.006958,
2.014160;-3.234863;-1.281738,
283068,
0.025757;0.009521;1.007446,
2.075195;-3.112793;-1.220703,
283122,
0.025757;0.009521;1.007446,
2.075195;-3.112793;-1.220703,
283146,
0.026855;0.008423;1.006958,
2.075195;-3.295898;-1.220703,
283155,
0.026855;0.008423;1.006958,
2.075195;-3.295898;-1.220703,
283160,
0.027954;0.008667;1.005127,
2.014160;-3.234863;-1.281738,
283168,
0.027954;0.008667;1.005127,
2.014160;-3.234863;-1.281738,
283194,
0.026367;0.010742;1.007202,
2.075195;-3.112793;-1.281738,
283180,
0.026367;0.010742;1.007202,
2.075195;-3.112793;-1.281738,
283219,
0.025513;0.010376;1.007812,
2.075195;-3.234863;-1.281738,
283207,
0.025513;0.010376;1.007812,
2.075195;-3.234863;-1.281738,
283232,
0.024048;0.008789;1.008057,
2.075195;-3.173828;-1.159668,
283219,
0.024048;0.008789;1.008057,
2.075195;-3.173828;-1.281738,
283209,
0.023804;0.009521;1.006348,
2.136230;-3.173828;-1.281738,
283212,
0.022583;0.009277;1.006348,
2.075195;-3.234863;-1.220703,
283223,
0.022583;0.009277;1.006348,
2.075195;-3.234863;-1.220703,
283252,
0.020020;0.007812;1.008057,
2.075195;-3.173828;-1.281738,
283220,
0.020020;0.007812;1.008057,
2.075195;-3.173828;-1.281738,
283231,
0.021729;0.007812;1.006470,
2.075195;-3.173828;-1.342773,
283235,
0.021729;0.007812;1.006470,
2.075195;-3.173828;-1.342773,
283254,
0.023071;0.008179;1.006226,
2.075195;-3.356934;-1.342773,
283237,
0.023071;0.008179;1.006226,
2.075195;-3.356934;-1.342773,
283241,
0.022949;0.008545;1.006958,
2.075195;-3.295898;-1.281738,
283255,
0.022949;0.008545;1.006958,
2.075195;-3.295898;-1.281738,
283275,
0.024658;0.008301;1.006714,
2.014160;-3.295898;-1.281738,
283312,
0.024658;0.008301;1.006714,
2.014160;-3.295898;-1.281738,
283299,
0.025513;0.008301;1.006836,
2.014160;-3.356934;-1.281738,
283313,
