0,1,2,3,4,5,6,7,8,9
298265.0,255418.0,,,,,,,,
298270.0,255473.0,,,,,,,,
298275.0,255555.0,,,,,,,,
298280.0,255599.0,,,,,,,,
298285.0,255682.0,,,,,,,,
298290.0,255764.0,,,,,,,,
298295.0,255802.0,,,,,,,,
298300.0,255842.0,,,,,,,,
298305.0,255922.0,,,,,,,,
298310.0,255962.0,,,,,,,,
298315.0,256019.0,,,,,,,,
298320.0,256107.0,,,,,,,,
298325.0,256124.0,,,,,,,,
298330.0,256183.0,,,,,,,,
298335.0,256239.0,,,,,,,,
298340.0,256289.0,,,,,,,,
298345.0,256358.0,,,,,,,,
298350.0,256397.0,,,,,,,,
298355.0,256467.0,,,,,,,,
298360.0,256512.0,,,,,,,,
298365.0,256565.0,,,,,,,,
298370.0,256612.0,,,,,,,,
298375.0,256671.0,,,,,,,,
298380.0,256718.0,,,,,,,,
298385.0,256788.0,,,,,,,,
298390.0,256802.0,,,,,,,,
298395.0,256863.0,,,,,,,,
298400.0,256910.0,,,,,,,,
298405.0,256947.0,,,,,,,,
298410.0,256954.0,,,,,,,,
298415.0,257018.0,,,,,,,,
298420.0,257034.0,,,,,,,,
298425.0,257089.0,,,,,,,,
298430.0,257136.0,,,,,,,,
298435.0,257146.0,,,,,,,,
298440.0,257184.0,,,,,,,,
298445.0,257208.0,,,,,,,,
298450.0,257244.0,,,,,,,,
298455.0,257288.0,,,,,,,,
298460.0,257350.0,,,,,,,,
298466.0,257369.0,,,,,,,,
298471.0,257399.0,,,,,,,,
298476.0,257420.0,,,,,,,,
298480.0,257452.0,,,,,,,,
298486.0,257472.0,,,,,,,,
298491.0,257512.0,,,,,,,,
298496.0,257535.0,,,,,,,,
298501.0,257584.0,,,,,,,,
298506.0,257578.0,,,,,,,,
298511.0,257600.0,,,,,,,,
298516.0,257641.0,,,,,,,,
298521.0,257667.0,,,,,,,,
298526.0,257687.0,,,,,,,,
298531.0,257718.0,,,,,,,,
298536.0,257756.0,,,,,,,,
298541.0,257765.0,,,,,,,,
298546.0,257785.0,,,,,,,,
298551.0,257826.0,,,,,,,,
298556.0,257846.0,,,,,,,,
298561.0,257850.0,,,,,,,,
298566.0,257869.0,,,,,,,,
298571.0,257899.0,,,,,,,,
298576.0,257932.0,,,,,,,,
298581.0,257954.0,,,,,,,,
298586.0,257985.0,,,,,,,,
298591.0,257995.0,,,,,,,,
298596.0,258023.0,,,,,,,,
298601.0,258057.0,,,,,,,,
298606.0,258068.0,,,,,,,,
298611.0,258102.0,,,,,,,,
298616.0,258131.0,,,,,,,,
298621.0,258165.0,,,,,,,,
298626.0,258191.0,,,,,,,,
298631.0,258228.0,,,,,,,,
298636.0,258268.0,,,,,,,,
298641.0,258309.0,,,,,,,,
298646.0,258338.0,,,,,,,,
298651.0,258360.0,,,,,,,,
298656.0,258418.0,,,,,,,,
298661.0,258446.0,,,,,,,,
298666.0,258480.0,,,,,,,,
298671.0,258508.0,,,,,,,,
298676.0,258579.0,,,,,,,,
298681.0,258581.0,,,,,,,,
298686.0,258582.0,,,,,,,,
298691.0,258607.0,,,,,,,,
298696.0,258578.0,,,,,,,,
298701.0,258497.0,,,,,,,,
298706.0,258406.0,,,,,,,,
298711.0,258253.0,,,,,,,,
298716.0,258020.0,,,,,,,,
298721.0,257805.0,,,,,,,,
298726.0,257510.0,,,,,,,,
298731.0,257201.0,,,,,,,,
298736.0,256838.0,,,,,,,,
298741.0,256462.0,,,,,,,,
298746.0,256049.0,,,,,,,,
298751.0,255656.0,,,,,,,,
298756.0,255233.0,,,,,,,,
298761.0,254844.0,,,,,,,,
298766.0,254448.0,,,,,,,,
298771.0,254081.0,,,,,,,,
298776.0,253728.0,,,,,,,,
298781.0,253377.0,,,,,,,,
298787.0,253055.0,,,,,,,,
298791.0,252797.0,,,,,,,,
298796.0,252510.0,,,,,,,,
298801.0,252317.0,,,,,,,,
298806.0,252102.0,,,,,,,,
298812.0,251949.0,,,,,,,,
298817.0,251811.0,,,,,,,,
298821.0,251694.0,,,,,,,,
298826.0,251590.0,,,,,,,,
298832.0,251514.0,,,,,,,,
298837.0,251466.0,,,,,,,,
298842.0,251452.0,,,,,,,,
298847.0,251424.0,,,,,,,,
298852.0,251432.0,,,,,,,,
298857.0,251409.0,,,,,,,,
298862.0,251447.0,,,,,,,,
298867.0,251454.0,,,,,,,,
298872.0,251476.0,,,,,,,,
298877.0,251498.0,,,,,,,,
298882.0,251543.0,,,,,,,,
298887.0,251581.0,,,,,,,,
298892.0,251641.0,,,,,,,,
298897.0,251692.0,,,,,,,,
298902.0,251755.0,,,,,,,,
298907.0,251780.0,,,,,,,,
298912.0,251876.0,,,,,,,,
298917.0,251944.0,,,,,,,,
298922.0,251983.0,,,,,,,,
298927.0,252051.0,,,,,,,,
298932.0,252132.0,,,,,,,,
298937.0,252211.0,,,,,,,,
298942.0,252280.0,,,,,,,,
298947.0,252375.0,,,,,,,,
298952.0,252466.0,,,,,,,,
298957.0,252560.0,,,,,,,,
298962.0,252668.0,,,,,,,,
298967.0,252760.0,,,,,,,,
298972.0,252867.0,,,,,,,,
298977.0,252994.0,,,,,,,,
298982.0,253064.0,,,,,,,,
298987.0,253175.0,,,,,,,,
298992.0,253309.0,,,,,,,,
298997.0,253377.0,,,,,,,,
299002.0,253473.0,,,,,,,,
299007.0,253533.0,,,,,,,,
299012.0,253593.0,,,,,,,,
299017.0,253670.0,,,,,,,,
299022.0,253685.0,,,,,,,,
299027.0,253709.0,,,,,,,,
299032.0,253757.0,,,,,,,,
299037.0,253746.0,,,,,,,,
299042.0,253743.0,,,,,,,,
299047.0,253739.0,,,,,,,,
299052.0,253725.0,,,,,,,,
299057.0,253689.0,,,,,,,,
299062.0,253668.0,,,,,,,,
299067.0,253604.0,,,,,,,,
299072.0,253558.0,,,,,,,,
299077.0,253522.0,,,,,,,,
299082.0,253478.0,,,,,,,,
299087.0,253439.0,,,,,,,,
299092.0,253392.0,,,,,,,,
299097.0,253345.0,,,,,,,,
299102.0,253285.0,,,,,,,,
299107.0,253258.0,,,,,,,,
299112.0,253241.0,,,,,,,,
299117.0,253190.0,,,,,,,,
299122.0,253180.0,,,,,,,,
299127.0,253168.0,,,,,,,,
299133.0,253144.0,,,,,,,,
299137.0,253143.0,,,,,,,,
299142.0,253139.0,,,,,,,,
299147.0,253176.0,,,,,,,,
299153.0,253161.0,,,,,,,,
299158.0,253179.0,,,,,,,,
299163.0,253203.0,,,,,,,,
299167.0,253228.0,,,,,,,,
299173.0,253262.0,,,,,,,,
299178.0,253296.0,,,,,,,,
299183.0,253315.0,,,,,,,,
299188.0,253381.0,,,,,,,,
299193.0,253436.0,,,,,,,,
299198.0,253482.0,,,,,,,,
299203.0,253524.0,,,,,,,,
299208.0,253587.0,,,,,,,,
299213.0,253662.0,,,,,,,,
299218.0,253719.0,,,,,,,,
299223.0,253778.0,,,,,,,,
299228.0,253836.0,,,,,,,,
299233.0,253893.0,,,,,,,,
299238.0,253948.0,,,,,,,,
299243.0,254044.0,,,,,,,,
299248.0,254096.0,,,,,,,,
299253.0,254166.0,,,,,,,,
299258.0,254237.0,,,,,,,,
299263.0,254323.0,,,,,,,,
299268.0,254379.0,,,,,,,,
299273.0,254464.0,,,,,,,,
299278.0,254521.0,,,,,,,,
299283.0,254585.0,,,,,,,,
299288.0,254646.0,,,,,,,,
299293.0,254717.0,,,,,,,,
299298.0,254793.0,,,,,,,,
299303.0,254868.0,,,,,,,,
299308.0,254916.0,,,,,,,,
299313.0,254983.0,,,,,,,,
299318.0,255044.0,,,,,,,,
299323.0,255097.0,,,,,,,,
299328.0,255182.0,,,,,,,,
299333.0,255236.0,,,,,,,,
299338.0,255289.0,,,,,,,,
299343.0,255349.0,,,,,,,,
299348.0,255438.0,,,,,,,,
299353.0,255479.0,,,,,,,,
299358.0,255513.0,,,,,,,,
299363.0,255591.0,,,,,,,,
299368.0,255655.0,,,,,,,,
299373.0,255712.0,,,,,,,,
299378.0,255769.0,,,,,,,,
299383.0,255822.0,,,,,,,,
299388.0,255885.0,,,,,,,,
299393.0,255931.0,,,,,,,,
299398.0,255984.0,,,,,,,,
299403.0,256029.0,,,,,,,,
299408.0,256086.0,,,,,,,,
299413.0,256108.0,,,,,,,,
299418.0,256160.0,,,,,,,,
299423.0,256213.0,,,,,,,,
299428.0,256268.0,,,,,,,,
299433.0,256285.0,,,,,,,,
299438.0,256331.0,,,,,,,,
